trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-82.30377800634555,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-188.41097485469638,"{0: 10, 1: 3, 2: 2, 3: 2, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-77.548500665617,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,4,-61.49231319168324,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-248.94534343578513,"{0: 12, 1: 3, 2: 3, 3: 3, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-50.069337448935165,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-63.129393900599865,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-30.058942072851707,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-155.4063223685466,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-99.4869593643594,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-134.25655335142028,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,7,-26.65694314916256,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-142.2538572748231,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,3,-23.529838863897968,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-45.87484378273872,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,11,7.80589638306076,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,11,-10.442561350701212,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,19,-1.0462923874989882,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,13,19.397305419123203,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,22,-6.5961257627562,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-41.43813511193086,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-62.53130914571144,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,10,-16.876187935241028,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-40.34331465641576,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-15.198397689084667,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",20,0,-30.979425671872022,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,10,8.684734764809289,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,0,-19.58680590721298,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",35,21,22.59166426779894,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,22,-27.527618962747805,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
