trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",30,0,-175.60411511516438,"{0: 17, 1: 4, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,0,-61.08820292291895,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-106.43293394906554,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-53.34128967698396,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",20,0,-47.91101952811205,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,5,-41.58233571213667,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",25,0,-99.1060743762657,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",25,0,-175.08631463803715,"{0: 11, 1: 1, 2: 10, 3: 2, 4: 1}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,10,-19.377220170763756,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-89.39742774767068,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-100.76479114735947,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",20,0,-100.51141129642787,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",25,0,-305.03116782666996,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 6}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",30,4,-91.90376944920718,"{0: 14, 1: 5, 2: 5, 3: 2, 4: 0}",1
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,0,-180.57893853312467,"{0: 8, 1: 4, 2: 3, 3: 3, 4: 2}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",30,0,-189.01094486459337,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",20,0,-62.414573346614894,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-37.69089870193926,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",20,6,-42.30967033316,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 0}",1
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",25,0,-83.61381997804041,"{0: 21, 1: 1, 2: 0, 3: 1, 4: 2}",0
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,0,-78.30333561514034,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",30,0,-144.61803538338503,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",25,0,-151.83915868508515,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",30,4,-163.10220404687783,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 3}",1
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",30,0,-214.8373771171993,"{0: 14, 1: 2, 2: 10, 3: 2, 4: 2}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",20,0,-173.94765103459977,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",25,0,-115.40845625656635,"{0: 16, 1: 6, 2: 0, 3: 1, 4: 2}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",25,0,-186.30174117601152,"{0: 10, 1: 6, 2: 5, 3: 2, 4: 2}",0
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",35,0,-281.89159480198657,"{0: 17, 1: 2, 2: 11, 3: 1, 4: 4}",0
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",25,0,-119.38220016077709,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",30,0,-162.55109413501933,"{0: 17, 1: 4, 2: 4, 3: 4, 4: 1}",0
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",20,0,-72.29158619017113,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
33,False,"{'a': 0.002, 'e': 0.9380049995307295}",30,0,-152.4508616018574,"{0: 19, 1: 4, 2: 2, 3: 3, 4: 2}",0
34,False,"{'a': 0.002, 'e': 0.9361308642916188}",20,0,-90.5573846484302,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
35,False,"{'a': 0.002, 'e': 0.9342604735772135}",25,10,-91.00560607305103,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 2}",1
36,False,"{'a': 0.002, 'e': 0.9323938199059483}",20,0,-114.08707865428673,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
37,False,"{'a': 0.002, 'e': 0.9305308958112057}",25,0,-135.79638809874493,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
38,False,"{'a': 0.002, 'e': 0.9286716938412872}",20,0,-55.35354156557794,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
39,False,"{'a': 0.002, 'e': 0.9268162065593822}",35,0,-155.1049192250528,"{0: 23, 1: 2, 2: 7, 3: 1, 4: 2}",0
40,False,"{'a': 0.002, 'e': 0.9249644265435393}",20,0,-180.08911710088492,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
41,False,"{'a': 0.002, 'e': 0.9231163463866358}",20,0,-65.00121945821033,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",20,0,-89.1885995626857,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",20,0,-54.918313297650435,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",20,0,-188.8919316469496,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",20,0,-51.510085282007,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",30,0,-147.7796681993725,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",20,0,-85.2559217554648,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
48,False,"{'a': 0.002, 'e': 0.910282762240767}",20,0,-0.17643876385802415,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",20,0,-90.55846512220131,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",20,0,-93.07796785116462,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",25,8,-36.94575892572014,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.002, 'e': 0.9030295516688768}",35,0,-106.24642330630296,"{0: 24, 1: 2, 2: 7, 3: 1, 4: 1}",0
53,False,"{'a': 0.002, 'e': 0.9012252974212047}",20,0,-97.83513056829361,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
54,False,"{'a': 0.002, 'e': 0.899424648075924}",30,0,-229.2883098742209,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
55,False,"{'a': 0.002, 'e': 0.8976275964304349}",20,6,-35.72061260601712,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 0}",1
56,False,"{'a': 0.002, 'e': 0.8958341352965282}",25,0,-125.79707013434209,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
57,False,"{'a': 0.002, 'e': 0.8940442575003572}",20,0,-73.02555938051724,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
58,False,"{'a': 0.002, 'e': 0.8922579558824083}",20,0,-18.046909049631196,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
59,False,"{'a': 0.002, 'e': 0.8904752232974726}",25,0,-86.18083990245455,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
60,False,"{'a': 0.002, 'e': 0.8886960526146174}",25,0,-106.32779314560587,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
